goID	Pvalue	FoldEnrch	test_count	bkgd_count	expected
GO:0070403	0.19078	4.807499999999999	1	12	0.20800832033281333
GO:0045087	0.04337	3.846	3	45	0.7800312012480499
GO:0004715	0.23049	3.846	1	15	0.26001040041601664
GO:0004712	0.2169	4.1207142857142856	1	14	0.24267637372161555
GO:0035091	0.23583	2.1769811320754715	2	53	0.9187034148032588
GO:0005769	0.68135	0.8875384615384614	1	65	1.1267117351360723
GO:0061709	3e-05	17.75076923076923	4	13	0.22534234702721442
GO:0032456	0.29793	2.8845	1	20	0.34668053388802217
GO:0015031	0.97386	0.28418719211822663	1	203	3.518807418963425
GO:0042147	0.47543	1.5591891891891891	1	37	0.641358987692841
GO:0030904	0.06723	14.422499999999998	1	4	0.06933610677760445
GO:0006886	0.04211	2.3546938775510204	6	147	2.548101924076963
GO:0008289	0.25365	2.0603571428571428	2	56	0.9707054948864622
GO:0005794	0.28548	1.282	8	360	6.240249609984399
GO:0031901	0.00658	5.366511627906976	4	43	0.7453631478592477
GO:0006897	0.30669	1.8028124999999997	2	64	1.1093777084416712
GO:1901981	0.099	9.614999999999998	1	6	0.10400416016640666
GO:0050821	0.48613	1.5181578947368422	1	38	0.6586930143872421
GO:0031969	0.05926	5.016521739130434	2	23	0.39868261397122556
GO:0005771	0.21716	4.1207142857142856	1	14	0.24267637372161555
GO:0031410	0.15744	1.9071074380165287	4	121	2.0974172300225344
GO:0042995	0.63233	0.9457377049180328	2	122	2.1147512567169353
GO:0030027	0.02514	4.677567567567568	3	37	0.641358987692841
GO:0003960	0.10028	9.614999999999998	1	6	0.10400416016640666
GO:0070402	0.17519	5.244545454545454	1	11	0.1906742936384122
GO:0016651	0.21647	4.1207142857142856	1	14	0.24267637372161555
GO:0004022	0.14464	6.41	1	9	0.15600624024961
GO:0004198	0.10006	9.614999999999998	1	6	0.10400416016640666
GO:0006508	0.44567	1.1713705583756344	4	197	3.414803258797019
GO:0008234	0.21903	2.2623529411764705	2	51	0.8840353614144566
GO:0005929	0.58289	1.0301785714285714	2	112	1.9414109897729244
GO:0008233	0.32298	1.3901204819277109	4	166	2.877448431270584
GO:0009793	0.23882	2.1366666666666663	2	54	0.93603744149766
GO:0005764	0.24573	1.748181818181818	3	99	1.71606864274571
GO:0030163	0.35322	2.3076000000000003	1	25	0.4333506673600277
GO:0043565	0.22747	2.2188461538461537	2	52	0.9013693881088577
GO:0016706	0.28381	3.0363157894736843	1	19	0.3293465071936211
GO:0003727	0.33461	2.508260869565217	1	23	0.39868261397122556
GO:1990904	0.62893	0.930483870967742	4	248	4.298838620211475
GO:0000987	0.14505	6.41	1	9	0.15600624024961
GO:0006325	0.3832	1.5181578947368422	2	76	1.3173860287744843
GO:0005730	0.39711	1.1854109589041095	6	292	5.061535794765124
GO:0002040	0.11434	8.241428571428571	1	7	0.12133818686080777
GO:0032452	0.10111	9.614999999999998	1	6	0.10400416016640666
GO:0051260	0.27218	3.205	1	18	0.31201248049922
GO:0008168	0.52786	1.058532110091743	4	218	3.7788178193794417
GO:0032259	0.47117	1.1367487684729065	4	203	3.518807418963425
GO:0006338	0.15571	1.923	4	120	2.080083203328133
GO:0009788	0.11365	8.241428571428571	1	7	0.12133818686080777
GO:0000347	0.17406	5.244545454545454	1	11	0.1906742936384122
GO:0031047	0.07777	4.2733333333333325	2	27	0.46801872074883
GO:0080008	0.24349	3.6056249999999994	1	16	0.2773444271104178
GO:0003724	0.5681	1.2018749999999998	1	48	0.8320332813312533
GO:0000346	0.06709	14.422499999999998	1	4	0.06933610677760445
GO:0006406	0.37743	2.1366666666666663	1	27	0.46801872074883
GO:0008408	0.28312	3.0363157894736843	1	19	0.3293465071936211
GO:0003887	0.4657	1.6025	1	36	0.62402496099844
GO:0006260	0.73612	0.7590789473684211	1	76	1.3173860287744843
GO:0071897	0.33098	2.508260869565217	1	23	0.39868261397122556
GO:0004527	0.03653	4.120714285714286	3	42	0.7280291211648465
GO:0000287	0.87054	0.49732758620689654	1	116	2.0107470965505287
GO:0008311	0.09801	9.614999999999998	1	6	0.10400416016640666
GO:0006259	0.3669	2.2188461538461537	1	26	0.45068469405442885
GO:0004114	0.14673	6.41	1	9	0.15600624024961
GO:0008081	0.39142	2.0603571428571428	1	28	0.4853527474432311
GO:0030553	0.20182	4.437692307692307	1	13	0.22534234702721442
GO:0004115	0.06872	14.422499999999998	1	4	0.06933610677760445
GO:0047555	0.06872	14.422499999999998	1	4	0.06933610677760445
GO:0005741	0.30554	1.8028124999999997	2	64	1.1093777084416712
GO:0048471	0.05482	2.4239495798319326	5	119	2.0627491766337323
GO:0010628	0.20828	2.3546938775510204	2	49	0.8493673080256543
GO:0097060	0.0151	10.489090909090908	2	11	0.1906742936384122
GO:0004016	0.14542	6.41	1	9	0.15600624024961
GO:0009190	0.22937	3.846	1	15	0.26001040041601664
GO:0035556	0.5366	1.1201941747572814	2	103	1.7854047495233143
GO:0005930	0.72357	0.7902739726027397	1	73	1.265383948691281
GO:0007601	0.32029	2.622272727272727	1	22	0.3813485872768244
GO:0050896	0.57418	1.1773469387755102	1	49	0.8493673080256543
GO:0032440	0.09429	3.846	2	30	0.5200208008320333
GO:0015267	0.11573	8.241428571428571	1	7	0.12133818686080777
GO:0006833	0.06773	14.422499999999998	1	4	0.06933610677760445
GO:0015250	0.06773	14.422499999999998	1	4	0.06933610677760445
GO:0016323	0.15981	2.8141463414634145	2	41	0.7106950944704455
GO:0005774	0.07536	3.0363157894736843	3	57	0.9880395215808632
GO:0005773	0.5586	1.2274468085106383	1	47	0.8146992546368522
GO:0016324	0.66739	0.9157142857142857	1	63	1.0920436817472698
GO:0071918	0.06792	14.422499999999998	1	4	0.06933610677760445
GO:0080170	0.01726	57.68999999999999	1	1	0.017334026694401112
GO:0055085	0.60228	0.9946551724137931	2	116	2.0107470965505287
GO:0000326	0.03416	28.844999999999995	1	2	0.034668053388802224
GO:0042807	0.01726	57.68999999999999	1	1	0.017334026694401112
GO:0015204	0.06792	14.422499999999998	1	4	0.06933610677760445
GO:0003854	0.27031	3.205	1	18	0.31201248049922
GO:0006694	0.47743	1.5591891891891891	1	37	0.641358987692841
GO:0006384	0.1466	6.41	1	9	0.15600624024961
GO:0000127	0.05165	19.229999999999997	1	3	0.05200208008320333
GO:0003677	0.8156	0.6950602409638554	3	249	4.316172646905876
GO:0009809	0.11606	8.241428571428571	1	7	0.12133818686080777
GO:0043240	0.03501	28.844999999999995	1	2	0.034668053388802224
GO:0004842	0.2458	1.748181818181818	3	99	1.71606864274571
GO:0036297	0.02375	8.241428571428571	2	14	0.24267637372161555
