class,intron_length,GC_intron,PPT_density,T_block_length,SRSF3_count,SRSF3_density,PCBP2_count,PCBP2_density,CpG_count,CpG_density
1,226,0.6017699115044248,0.3333333333333333,3,1,4.424778761061947,6,26.548672566371682,9,39.823008849557525
1,640,0.6265625,0.6666666666666666,4,8,12.5,27,42.1875,30,46.875
1,1089,0.4995408631772268,0.26666666666666666,5,9,8.264462809917356,12,11.019283746556475,9,8.264462809917356
1,637,0.45839874411302983,0.5333333333333333,5,5,7.849293563579278,7,10.989010989010989,5,7.849293563579278
1,433,0.44110854503464203,0.7333333333333333,6,3,6.928406466512702,6,13.856812933025404,6,13.856812933025404
1,2010,0.5218905472636816,0.4666666666666667,7,7,3.4825870646766175,37,18.40796019900498,26,12.935323383084578
1,1655,0.36737160120845924,0.2,7,8,4.833836858006042,11,6.646525679758308,22,13.293051359516616
1,359,0.5013927576601671,0.3333333333333333,4,5,13.92757660167131,2,5.571030640668524,4,11.142061281337048
1,490,0.5775510204081633,0.26666666666666666,6,2,4.081632653061225,19,38.775510204081634,11,22.448979591836736
1,894,0.6756152125279642,0.6666666666666666,3,2,2.237136465324385,26,29.082774049217,44,49.21700223713646
1,678,0.5752212389380531,0.4,4,7,10.324483775811208,16,23.59882005899705,19,28.023598820058996
1,1924,0.4573804573804574,0.4,11,8,4.158004158004158,17,8.835758835758837,43,22.34927234927235
1,1201,0.5636969192339717,0.4666666666666667,5,9,7.493755203996669,28,23.31390507910075,19,15.820149875104079
1,1246,0.4839486356340289,0.5333333333333333,7,16,12.841091492776886,27,21.669341894060995,11,8.828250401284109
1,2020,0.38663366336633664,0.5333333333333333,21,13,6.435643564356436,14,6.930693069306931,25,12.376237623762377
1,1151,0.4005212858384014,0.2,6,4,3.475238922675934,4,3.475238922675934,12,10.425716768027801
1,637,0.5243328100470958,0.4,4,6,9.419152276295133,9,14.1287284144427,6,9.419152276295133
1,437,0.4874141876430206,0.5333333333333333,7,4,9.153318077803204,3,6.864988558352403,7,16.018306636155607
1,996,0.5030120481927711,0.2,8,5,5.020080321285141,20,20.080321285140563,14,14.056224899598394
1,1106,0.5904159132007233,0.4,5,6,5.424954792043399,22,19.89150090415913,52,47.01627486437613
1,1216,0.6373355263157895,0.13333333333333333,4,3,2.4671052631578947,30,24.67105263157895,54,44.40789473684211
1,1110,0.5918918918918918,0.4666666666666667,3,10,9.009009009009008,31,27.927927927927925,22,19.819819819819816
1,444,0.5608108108108109,0.6666666666666666,3,1,2.2522522522522523,9,20.27027027027027,9,20.27027027027027
1,444,0.5608108108108109,0.6666666666666666,3,1,2.2522522522522523,9,20.27027027027027,9,20.27027027027027
1,265,0.5924528301886792,0.4666666666666667,4,1,3.773584905660377,7,26.41509433962264,5,18.867924528301884
1,390,0.6205128205128205,0.2,3,1,2.564102564102564,14,35.8974358974359,6,15.384615384615383
1,1362,0.37738619676945667,0.2,7,12,8.810572687224669,9,6.607929515418502,12,8.810572687224669
1,591,0.5888324873096447,0.6,4,7,11.844331641285956,16,27.072758037225043,9,15.228426395939087
1,1378,0.4927431059506531,0.4666666666666667,7,7,5.079825834542816,20,14.51378809869376,64,46.444121915820034
1,1809,0.4842454394693201,0.4,5,6,3.316749585406302,24,13.266998341625207,36,19.900497512437813
1,1888,0.4253177966101695,0.2,9,9,4.766949152542373,18,9.533898305084746,20,10.593220338983052
1,408,0.6397058823529411,0.4,2,4,9.803921568627452,13,31.862745098039216,15,36.76470588235294
1,1160,0.5370689655172414,0.5333333333333333,16,11,9.482758620689657,17,14.655172413793105,68,58.62068965517242
1,728,0.5810439560439561,0.26666666666666666,4,3,4.120879120879121,18,24.725274725274726,24,32.96703296703297
1,1057,0.49479659413434246,0.26666666666666666,4,13,12.298959318826869,17,16.08325449385052,21,19.867549668874172
1,299,0.5250836120401338,0.5333333333333333,4,4,13.377926421404682,6,20.066889632107024,2,6.688963210702341
