Species	TaxaID	Genome database	Genome assembly	Genome URL	ProteomeID	Source
Plasmodium knowlesi strain H	5851	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/355/GCA_000006355.2_GCA_000006355.2/GCA_000006355.2_GCA_000006355.2_genomic.fna.gz	UP000031513_5851	Uniprot
Plasmopara halstedii	4781	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/000/015/GCA_900000015.1_Plasmopara_halstedii_genome/GCA_900000015.1_Plasmopara_halstedii_genome_genomic.fna.gz	UP000054928_4781	Uniprot
Pleurotus ostreatus PC15	1137138	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/466/165/GCA_014466165.1_ASM1446616v1/GCA_014466165.1_ASM1446616v1_genomic.fna.gz	UP000027073_1137138	Uniprot
Polarella glacialis	89957	Transcriptome	MMETSP	https://figshare.com/articles/dataset/Marine_Microbial_Eukaryotic_Transcriptome_Sequencing_Project_re-assemblies/3840153	EP00442	EukProt
Populus trichocarpa	3694	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/775/GCA_000002775.3_Pop_tri_v3/GCA_000002775.3_Pop_tri_v3_genomic.fna.gz	UP000006729_3694	Uniprot
Pseudocohnilembus persalinus	266149	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/447/515/GCA_001447515.1_ASM144751v1/GCA_001447515.1_ASM144751v1_genomic.fna.gz	UP000054937_266149	Uniprot
Puccinia triticina 1-1 BBBD Race 1	630390	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/525/GCA_000151525.2_P_triticina_1_1_V2/GCA_000151525.2_P_triticina_1_1_V2_genomic.fna.gz	UP000005240_630390	Uniprot
Rhizophagus irregularis	588596	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/439/145/GCA_000439145.3_ASM43914v3/GCA_000439145.3_ASM43914v3_genomic.fna.gz	UP000234323_588596	Uniprot
Rhizopus delemar RA 99-880	246409	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/305/GCA_000149305.1_RO3/GCA_000149305.1_RO3_genomic.fna.gz	UP000009138_246409	Uniprot
Rozella allomycis CSF55	988480	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/442/015/GCA_000442015.1_Rozella_k41_t100/GCA_000442015.1_Rozella_k41_t100_genomic.fna.gz	UP000030755_988480	Uniprot
Saccharomyces cerevisiae S288C	559292	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/045/GCA_000146045.2_R64/GCA_000146045.2_R64_genomic.fna.gz	UP000002311_559292	Uniprot
Salpingoeca rosetta	946362	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/188/695/GCA_000188695.1_Proterospongia_sp_ATCC50818/GCA_000188695.1_Proterospongia_sp_ATCC50818_genomic.fna.gz	UP000007799_946362	Uniprot
Saprolegnia parasitica CBS 223.65	695850	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/545/GCA_000151545.2_ASM15154v2/GCA_000151545.2_ASM15154v2_genomic.fna.gz	UP000030745_695850	Uniprot
Solanum lycopersicum	4081	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/188/115/GCA_000188115.3_SL3.0/GCA_000188115.3_SL3.0_genomic.fna.gz	UP000004994_4081	Uniprot
Sphaeroforma arctica JP610	667725	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/186/125/GCA_001186125.1_Spha_arctica_JP610_V1/GCA_001186125.1_Spha_arctica_JP610_V1_genomic.fna.gz	UP000054560_667725	Uniprot
Spironucleus salmonicida	348837	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/497/125/GCA_000497125.1_SSK3.0/GCA_000497125.1_SSK3.0_genomic.fna.gz	UP000018208_348837	Uniprot
Spizellomyces punctatus DAOM BR117	645134	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/565/GCA_000182565.2_S_punctatus_V1/GCA_000182565.2_S_punctatus_V1_genomic.fna.gz	UP000053201_645134	Uniprot
Stentor coeruleus	5963	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/970/955/GCA_001970955.1_ASM197095v1/GCA_001970955.1_ASM197095v1_genomic.fna.gz	UP000187209_5963	Uniprot
Strigamia maritima	126957	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/239/455/GCA_000239455.1_Smar_1.0/GCA_000239455.1_Smar_1.0_genomic.fna.gz	UP000014500_126957	Uniprot
Strongylocentrotus purpuratus	7668	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/235/GCA_000002235.4_Spur_5.0/GCA_000002235.4_Spur_5.0_genomic.fna.gz	UP000007110_7668	Uniprot
Stylonychia lemnae	5949	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/751/175/GCA_000751175.1_Stylonychia_lemnae_asm_v1.0/GCA_000751175.1_Stylonychia_lemnae_asm_v1.0_genomic.fna.gz	UP000039865_5949	Uniprot
Symbiodinium microadriaticum	2951	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/939/145/GCA_001939145.1_ASM193914v1/GCA_001939145.1_ASM193914v1_genomic.fna.gz	UP000186817_2951	Uniprot
Tetrabaena socialis	47790	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/891/735/GCA_002891735.1_TetSoc1/GCA_002891735.1_TetSoc1_genomic.fna.gz	UP000236333_47790	Uniprot
