cluster	type	pvalue	present_median	present_average	present_consistency	absent_median	absent_average	absent_consistency	pbc
I14_OG000813	not significant	0.81776	1	1.0	1.0	1.0	0.9375	0.9375	0.1626
I14_OG000814	not significant	0.82779	0.5	0.5	0.6363636363636364	1.0	0.625	0.625	-0.1319
I14_OG000816	not significant	0.39602	1	1.0	1.0	1.0	0.8125	0.8125	0.2932
I14_OG000818	not significant	0.33052	1	1.0	1.0	1.0	0.8125	0.8125	0.2932
I14_OG000822	not significant	0.77355	1	1.0	1.0	1.0	0.9375	0.9375	0.1626
I14_OG000823	not significant	0.49193	1	0.9090909090909091	0.9090909090909091	1.0	0.6875	0.6875	0.2619
I14_OG000825	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000826	not significant	0.22429	1	0.8636363636363636	0.9090909090909091	1.0	0.5625	0.5625	0.3257
I14_OG000832	not significant	0.76631	1	1.0	1.0	1.0	0.96875	1.0	0.1626
I14_OG000833	not significant	0.98175	1	0.6363636363636364	0.6363636363636364	1.0	0.625	0.625	0.0116
I14_OG000834	present_enriched	0.00116	1	0.6363636363636364	0.7272727272727273	0.0	0.125	0.125	0.5567
I14_OG000835	not significant	0.25632	1	1.0	1.0	1.0	0.75	0.75	0.3458
I14_OG000836	not significant	0.76678	1	1.0	1.0	1.0	0.96875	1.0	0.1626
I14_OG000837	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000838	not significant	0.95832	0	0.18181818181818182	0.2727272727272727	0.0	0.15625	0.1875	0.0377
I14_OG000840	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000841	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000843	not significant	0.94959	1.0	0.9090909090909091	0.9090909090909091	1.0	0.875	0.875	0.0533
